Num. levels,Num. cliques,Min. gates
1,0,7.75378237145455
1,56,7.75378237145455
2,0,74.999673253826
2,27,74.999673253826
2,28,7.55481929680367
2,56,7.55481929680367
3,0,69.999029647632
3,18,69.999029647632
3,19,70.000000000011
3,37,70.000000000011
3,38,6.92082203297215
3,56,6.92082203297215
5,0,55.3658524531992
5,10,55.3658524531992
5,11,57.9999464516014
5,21,57.9999464516014
5,22,58.0000000000542
5,33,58.0000000000542
5,34,58.0000000000033
5,44,58.0000000000033
5,45,5.72558460060203
5,56,5.72558460060203
10,0,11.8625083834368
10,4,11.8625083834368
10,5,27.7915271085893
10,10,27.7915271085893
10,11,28.9966722307077
10,16,28.9966722307077
10,17,29.0000000000673
10,21,29.0000000000673
10,22,29.0000000000054
10,27,29.0000000000054
10,28,29.0000000000454
10,33,29.0000000000454
10,34,29.0000000000017
10,38,29.0000000000017
10,39,29.0
10,44,29.0
10,45,29.0
10,50,29.0
10,51,3.95181982452899
10,56,3.95181982452899
25,0,18.9870288709225
25,1,18.9870288709225
25,2,9.39200315210562
25,3,9.39200315210562
25,4,39.9663433407227
25,5,39.9663433407227
25,6,77.4776565913515
25,8,77.4776565913515
25,9,86.0146736216494
25,10,86.0146736216494
25,11,88.8124041291856
25,12,88.8124041291856
25,13,89.6684917460712
25,14,89.6684917460712
25,15,89.9792267376098
25,17,89.9792267376098
25,18,89.9909298859834
25,19,89.9909298859834
25,20,89.9982328046862
25,21,89.9982328046862
25,22,89.9998080632832
25,24,89.9998080632832
25,25,9.99999916802077
25,26,9.99999916802077
25,27,9.99999991947479
25,28,9.99999991947479
25,29,9.99999999443474
25,30,9.99999999443474
25,31,9.99999999987631
25,33,9.99999999987631
25,34,10.0000000000004
25,35,10.0000000000004
25,36,10.0
25,37,10.0
25,38,10.0
25,40,10.0
25,41,10.0
25,42,10.0
25,43,10.0
25,44,10.0
25,45,10.0
25,46,10.0
25,47,10.0
25,49,10.0
25,50,10.0
25,51,10.0
25,52,10.0
25,53,10.0
25,54,2.72636192861615
25,56,2.72636192861615
